state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,poi_summary
jammu and kashmir,pahalgam,betaab valley,valley,nature,2,700,medium,50599,all,moderate,Betaab Valley — Nature. Category: valley. Estimated visit time: 2.0 hrs. Cost: ₹700. Best time to visit: all. Average rating: 4.6
himachal pradesh,palampur,tea gardens,tea plantation,agricultural,1.5,450,medium,6899,morning,moderate,Tea Gardens — Agricultural. Category: tea plantation. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.6
bihar,patna,sanjay gandhi biological park,zoo,wildlife,2.5,780,medium,215000,all,moderate,Sanjay Gandhi Biological Park — Wildlife. Category: zoo. Estimated visit time: 2.5 hrs. Cost: ₹780. Best time to visit: all. Average rating: 4.3
bihar,patna,budhha smriti park,park,cultural,1,310,medium,136400,all,moderate,Budhha Smriti Park — Cultural. Category: park. Estimated visit time: 1.0 hrs. Cost: ₹310. Best time to visit: all. Average rating: 4.4
bihar,patna,takhat shri harimandir ji patna sahib,gurudwara,religious,1,300,low,117500,all,budget,Takhat Shri Harimandir Ji Patna Sahib — Religious. Category: gurudwara. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
sikkim,pelling,pemayangtse monastery,monastery,religious,1,320,medium,6899,morning,moderate,Pemayangtse Monastery — Religious. Category: monastery. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: morning. Average rating: 4.6
uttar pradesh,porbandar,kirti mandir,memorial,historical,1,300,low,14400,morning,budget,Kirti Mandir — Historical. Category: memorial. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.8
andaman and nicobar islands,port blair,cellular jail,landmark,historical,1.5,480,medium,56400,afternoon,moderate,Cellular Jail — Historical. Category: landmark. Estimated visit time: 1.5 hrs. Cost: ₹480. Best time to visit: afternoon. Average rating: 4.7
puducherry,puducherry,promenade beach,beach,recreational,1,300,low,40500,morning,budget,Promenade Beach — Recreational. Category: beach. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.5
puducherry,puducherry,paradise beach,beach,recreational,1,500,medium,6750,morning,moderate,Paradise Beach — Recreational. Category: beach. Estimated visit time: 1.0 hrs. Cost: ₹500. Best time to visit: morning. Average rating: 4.5
maharastra,pune,shaniwar wada,fort,historical,2,650,medium,528000,all,moderate,Shaniwar Wada — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: all. Average rating: 4.4
odisha,puri,jagannath temple,temple,religious,2,600,medium,470000,all,moderate,Jagannath Temple — Religious. Category: temple. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.7
west bengal,purulia,ayodhya hills,hill,nature,2.5,750,medium,67500,all,moderate,Ayodhya Hills — Nature. Category: hill. Estimated visit time: 2.5 hrs. Cost: ₹750. Best time to visit: all. Average rating: 4.5
rajasthan,pushkar,pushkar lake,temple,religious,1.5,450,medium,704000,all,moderate,Pushkar Lake — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.4
andhra pradesh,puttaparthi,prasanthi nilayam,spiritual center,religious,1,300,low,56400,all,budget,Prasanthi Nilayam — Religious. Category: spiritual center. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
andhra pradesh,rajahmundry,papikondalu,hill,nature,2,600,medium,13760,all,moderate,Papikondalu — Nature. Category: hill. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.3
tamil nadu,rameswaram,ramanathaswamy temple,temple,religious,1.5,450,medium,4600,all,moderate,Ramanathaswamy Temple — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.6
jharkhand,ranchi,pahari mandir,temple,religious,1,300,low,59799,all,budget,Pahari Mandir — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
uttarakhand,ranikhet,chaubatia gardens,orchard,recreational,1,350,medium,10000,all,moderate,Chaubatia Gardens — Recreational. Category: orchard. Estimated visit time: 1.0 hrs. Cost: ₹350. Best time to visit: all. Average rating: 4.0
gujarat,rann of kutch,rann utsav,cultural,cultural,3,5000,high,49000,evening,luxury,Rann Utsav — Cultural. Category: cultural. Estimated visit time: 3.0 hrs. Cost: ₹5000. Best time to visit: evening. Average rating: 4.9
maharastra,ratnagiri,ganapatipule temple,temple,religious,1,300,low,47000,all,budget,Ganapatipule Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
sikkim,ravangla,buddha park,park,cultural,1,350,medium,48000,all,moderate,Buddha Park — Cultural. Category: park. Estimated visit time: 1.0 hrs. Cost: ₹350. Best time to visit: all. Average rating: 4.8
uttarakhand,rishikesh,laxman jhula,suspension bridge,cultural,1,300,low,13200,morning,budget,Laxman Jhula — Cultural. Category: suspension bridge. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.4
odisha,rourkela,khandadhar waterfall,waterfall,nature,1.5,450,medium,540000,all,moderate,Khandadhar Waterfall — Nature. Category: waterfall. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.5
odisha,sambalpur,hirakud dam,dam,engineering marvel,1,300,low,4500,all,budget,Hirakud Dam — Engineering marvel. Category: dam. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.5
uttar pradesh,sarnath,dhamek stupa,monument,historical,1,305,medium,29899,all,moderate,Dhamek Stupa — Historical. Category: monument. Estimated visit time: 1.0 hrs. Cost: ₹305. Best time to visit: all. Average rating: 4.6
maharashtra,satara,kaas plateau,valley,nature,2,900,medium,22000,afternoon,moderate,Kaas Plateau — Nature. Category: valley. Estimated visit time: 2.0 hrs. Cost: ₹900. Best time to visit: afternoon. Average rating: 4.4
rajasthan,sawai madhopur,ranthambore national park,wildlife sanctuary,wildlife,3,1400,high,41400,all,luxury,Ranthambore National Park — Wildlife. Category: wildlife sanctuary. Estimated visit time: 3.0 hrs. Cost: ₹1400. Best time to visit: all. Average rating: 4.6
himachal pradesh,shimla,the ridge,scenic point,recreational,1,300,low,14100,morning,budget,The Ridge — Recreational. Category: scenic point. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.7
maharastra,shirdi,sai baba temple,temple,religious,1.5,450,medium,324300,all,moderate,Sai Baba Temple — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.7
karnataka,shivamogga,jog falls,waterfall,nature,1.5,480,medium,105799,morning,moderate,Jog Falls — Nature. Category: waterfall. Estimated visit time: 1.5 hrs. Cost: ₹480. Best time to visit: morning. Average rating: 4.6
himachal pradesh,shoja,serolsar lake,lake,nature,2.5,750,medium,396000,morning,moderate,Serolsar Lake — Nature. Category: lake. Estimated visit time: 2.5 hrs. Cost: ₹750. Best time to visit: morning. Average rating: 4.4
west bengal,siliguri,jaldapara national park,wildlife sanctuary,wildlife,3,1150,high,15400,all,luxury,Jaldapara National Park — Wildlife. Category: wildlife sanctuary. Estimated visit time: 3.0 hrs. Cost: ₹1150. Best time to visit: all. Average rating: 4.4
assam,sivasagar,sivasagar sivadol,temple,historical,1,300,low,30550,all,budget,Sivasagar Sivadol — Historical. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
gujarat,somnath,somnath temple,temple,religious,2,600,medium,187200,morning,moderate,Somnath Temple — Religious. Category: temple. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.8
himachal pradesh,spiti valley,key monastery,monastery,religious,1,300,low,12000,morning,budget,Key Monastery — Religious. Category: monastery. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.8
jammu and kashmir,srinagar,dal lake,lake,nature,2,600,medium,69000,morning,moderate,Dal Lake — Nature. Category: lake. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.6
andhra pradesh,srisailam,mallikarjuna swamy temple,temple,religious,1,300,low,230300,all,budget,Mallikarjuna Swamy Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
west bengal,sundarbans,sundarbans national park,national park,wildlife,4,1260,high,28600,all,luxury,Sundarbans National Park — Wildlife. Category: national park. Estimated visit time: 4.0 hrs. Cost: ₹1260. Best time to visit: all. Average rating: 4.4
maharashtra,tarkarli,tarkarli beach,beach,recreational,2,600,medium,29899,evening,moderate,Tarkarli Beach — Recreational. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.6
arunachal pradesh,tawang,tawang monastery,monastery,religious,2,600,medium,15040,morning,moderate,Tawang Monastery — Religious. Category: monastery. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.7
tamil nadu,thanjavur,brihadeeswarar temple,temple,religious,1.5,450,medium,168000,all,moderate,Brihadeeswarar Temple — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.8
kerala,thekkady,periyar national park,national park,wildlife,3,950,medium,60200,all,moderate,Periyar National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹950. Best time to visit: all. Average rating: 4.3
kerala,thiruvananthapuram,padmanabhaswamy temple,temple,religious,1,300,low,216200,all,budget,Padmanabhaswamy Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
tamil nadu,tirunelveli,nellaiappar temple,temple,religious,1,300,low,73600,all,budget,Nellaiappar Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
rajasthan,udaipur,lake pichola,lake,nature,1,300,low,229999,all,budget,Lake Pichola — Nature. Category: lake. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
rajasthan,udaipur,city palace,palace,historical,2,900,medium,224400,all,moderate,City Palace — Historical. Category: palace. Estimated visit time: 2.0 hrs. Cost: ₹900. Best time to visit: all. Average rating: 4.4
jammu and kashmir,udhampur,patnitop height,hill,recreational,2,600,medium,4100,all,moderate,Patnitop Height — Recreational. Category: hill. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.1
madhya pradesh,ujjain,mahakaleshwar jyotirlinga,temple,religious,1.5,450,medium,576000,all,moderate,Mahakaleshwar Jyotirlinga — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.8
tripura,unakoti,unakoti rock carvings,rock carvings,historical,1.5,470,medium,11250,morning,moderate,Unakoti Rock Carvings — Historical. Category: rock carvings. Estimated visit time: 1.5 hrs. Cost: ₹470. Best time to visit: morning. Average rating: 4.5
uttarakhand,uttarkashi,gangotri temple,temple,religious,1,300,low,24000,all,budget,Gangotri Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
gujarat,vadodara,laxmi vilas palace,palace,historical,2,800,medium,74800,afternoon,moderate,Laxmi Vilas Palace — Historical. Category: palace. Estimated visit time: 2.0 hrs. Cost: ₹800. Best time to visit: afternoon. Average rating: 4.4
uttar pradesh,varanasi,kashi vishwanath temple,temple,religious,1,300,low,423000,all,budget,Kashi Vishwanath Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
kerala,varkala,varkala beach,beach,recreational,2,600,medium,46000,all,moderate,Varkala Beach — Recreational. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.6
andhra pradesh,vijayawada,kanaka durga temple,temple,religious,1,300,low,206800,all,budget,Kanaka Durga Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
andhra pradesh,visakhapatnam,submarine museum,museum,historical,1,340,medium,225399,all,moderate,Submarine Museum — Historical. Category: museum. Estimated visit time: 1.0 hrs. Cost: ₹340. Best time to visit: all. Average rating: 4.6
andhra pradesh,visakhapatnam,rishikonda beach,beach,recreational,1.5,450,medium,175500,morning,moderate,Rishikonda Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.5
andhra pradesh,visakhapatnam,borra caves,cave,natural wonder,2,660,medium,139500,afternoon,moderate,Borra Caves — Natural wonder. Category: cave. Estimated visit time: 2.0 hrs. Cost: ₹660. Best time to visit: afternoon. Average rating: 4.5
andhra pradesh,visakhapatnam,indira gandhi zoological park,zoo,wildlife,2,620,medium,102499,afternoon,moderate,Indira Gandhi Zoological Park — Wildlife. Category: zoo. Estimated visit time: 2.0 hrs. Cost: ₹620. Best time to visit: afternoon. Average rating: 4.1
andhra pradesh,visakhapatnam,visakha museum,museum,cultural,1,310,medium,27950,all,moderate,Visakha Museum — Cultural. Category: museum. Estimated visit time: 1.0 hrs. Cost: ₹310. Best time to visit: all. Average rating: 4.3
andhra pradesh,visakhapatnam,war memorial,war memorial,historical,1,300,low,27139,all,budget,War Memorial — Historical. Category: war memorial. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
andhra pradesh,visakhapatnam,matsyadarshini aquarium,aquarium,recreational,1,320,medium,11400,all,moderate,Matsyadarshini Aquarium — Recreational. Category: aquarium. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: all. Average rating: 3.8
andhra pradesh,visakhapatnam,kailasagiri,hill,recreational,2,600,medium,8550,all,moderate,Kailasagiri — Recreational. Category: hill. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.5
andhra pradesh,vizianagaram,simhachalam temple,temple,religious,1,300,low,277300,all,budget,Simhachalam Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
uttar pradesh,vrindavan,prem mandir,temple,religious,1.5,450,medium,235200,evening,moderate,Prem Mandir — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: evening. Average rating: 4.8
uttar pradesh,vrindavan,banke bihari temple,temple,religious,1,300,low,177600,all,budget,Banke Bihari Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
kerala,wayanad,wayanad wildlife sanctuary,wildlife sanctuary,wildlife,3,1200,high,990000,all,luxury,Wayanad Wildlife Sanctuary — Wildlife. Category: wildlife sanctuary. Estimated visit time: 3.0 hrs. Cost: ₹1200. Best time to visit: all. Average rating: 4.5
tamil nadu,yercaud,yercaud lake,lake,recreational,1,300,low,7980,morning,budget,Yercaud Lake — Recreational. Category: lake. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.2
